equipo,sprint,velocity,throughput_prs,lead_time_horas,change_failure_rate,mttr_horas
Plataforma,2026-S15,42,18,8.5,0.12,0.75
Plataforma,2026-S16,45,21,7.2,0.10,0.50
Plataforma,2026-S17,40,19,9.1,0.15,1.20
Plataforma,2026-S18,48,23,6.8,0.08,0.40
Plataforma,2026-S19,46,22,7.5,0.09,0.55
Plataforma,2026-S20,50,25,6.5,0.07,0.35
Pagos,2026-S15,35,14,18.0,0.22,4.50
Pagos,2026-S16,38,16,16.5,0.18,3.80
Pagos,2026-S17,32,12,22.0,0.28,6.20
Pagos,2026-S18,40,17,15.0,0.15,3.20
Pagos,2026-S19,42,19,14.0,0.12,2.50
Pagos,2026-S20,45,21,12.5,0.10,2.00
Mobile,2026-S15,28,10,24.0,0.20,5.50
Mobile,2026-S16,30,12,22.5,0.18,4.80
Mobile,2026-S17,26,9,28.0,0.25,8.00
Mobile,2026-S18,33,14,20.0,0.15,4.00
Mobile,2026-S19,35,15,18.5,0.13,3.50
Mobile,2026-S20,38,17,16.5,0.10,3.00
Data,2026-S15,55,28,5.0,0.06,0.30
Data,2026-S16,58,30,4.5,0.05,0.25
Data,2026-S17,52,26,5.8,0.08,0.40
Data,2026-S18,60,32,4.0,0.04,0.20
Data,2026-S19,62,34,3.8,0.04,0.18
Data,2026-S20,65,36,3.5,0.03,0.15
